County	Starting Date	Ending Date
BUTTS	11-07-2026	17-07-2026
CHATTAHOOCHEE	11-07-2026	17-07-2026
CRAWFORD	11-07-2026	17-07-2026
FANNIN	11-07-2026	17-07-2026
FLOYD	11-07-2026	17-07-2026
GILMER	11-07-2026	17-07-2026
GLASCOCK	11-07-2026	17-07-2026
HARRIS	11-07-2026	17-07-2026
LAMAR	11-07-2026	17-07-2026
LANIER	11-07-2026	17-07-2026
JASPER	11-07-2026	17-07-2026
MADISON	11-07-2026	17-07-2026
MORGAN	11-07-2026	17-07-2026
MURRAY	11-07-2026	17-07-2026
NEWTON	11-07-2026	17-07-2026
OCONEE	11-07-2026	17-07-2026
PIKE	11-07-2026	17-07-2026
SCHLEY	11-07-2026	17-07-2026
TALBOT	11-07-2026	17-07-2026
UNION	11-07-2026	17-07-2026
UPSON	11-07-2026	17-07-2026
WALTON	11-07-2026	17-07-2026
WHITFIELD	11-07-2026	17-07-2026
WILKINSON	11-07-2026	17-07-2026
